inputs,outputs,nb_plays-0-units-0-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-3-diff,nb_plays-0-units-64-ensemble-3-diff,hnn-diff,lstm-diff,sorted-hnn-diff,sorted-lstm-diff,,,
379,37,31.015,5.254,35.820225,1007.808516,0.294849,0.659344,,,
380,-10,-0.397,4.191,92.217609,201.384481,0.2704,0.597529,,,
381,-17,-13.351,-8.878,13.315201,65.966884,0.2704,0.541696,,,
382,-21,-28.547,-10.716,56.957209,105.760656,0.2209,0.519841,,,
383,-39,-32.167,-28.556,46.689889,109.077136,0.1936,0.5041,,,
384,19,18.093,12.307,0.822649,44.796249,0.167281,0.408321,,,
385,5,2.37,-3.866,6.9169,78.605956,0.1296,0.318096,,,
386,20,16.071,10.849,15.437041,83.740801,0.114921,0.279841,,,
387,-26,-19.84,-16.841,37.9456,83.887281,0.0784,0.242064,,,
388,12,8.706,8.499,10.850436,12.257001,0.073441,0.235225,,,
389,-38,-34.462,-27.704,12.517444,106.007616,0.071289,0.178084,,,
390,13,11.365,5.368,2.673225,58.247424,0.0529,0.175561,,,
391,13,11.822,1.299,1.387684,136.913401,0.051984,0.174724,,,
392,12,6.466,5.488,30.625156,42.406144,0.036864,0.166464,,,
393,17,14.392,4.242,6.801664,162.766564,0.0361,0.160801,,,
394,-5,-0.3,-0.151,22.09,23.512801,0.016641,0.154449,,,
395,-2,-2.786,-1.994,0.617796,3.6E-05,0.009409,0.134689,,,
396,-22,-21.288,-11.525,0.506944,109.725625,0.006724,0.104329,,,
397,-21,-17.308,-15.072,13.630864,35.141184,0.004096,0.024649,,,
398,16,19.002,9.403,9.012004,43.520409,0.002116,0.003364,,,
399,7,5.153,2.586,3.411409,19.483396,0.001444,0.000729,,,
