,pavel-nb_plays-50-units-50-__activation__-elu-__nb_plays__-25-__units__-10-ensemble-1-loss,pavel-nb_plays-50-units-64-loss,nb_plays-50-units-50-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-1-loss,nb_plays-50-units-128-loss
222,40.363,6.868,1.776,5.178
223,40.306,5.985,1.771,5.775
224,40.25,5.979,1.766,7.027
225,40.192,4.541,1.762,7.182
226,40.135,4.763,1.757,5.749
227,40.078,6.633,1.752,6.216
228,40.021,6.162,1.748,6.893
229,39.963,6.181,1.743,6.526
230,39.906,6.135,1.739,5.249
231,39.848,5.413,1.734,6.012
232,39.79,4.984,1.73,6.842
233,39.732,4.344,1.726,6.985
234,39.674,5.066,1.721,7.369
235,39.615,4.492,1.717,6.042
236,39.557,5.075,1.713,5.554
237,39.498,5.47,1.709,6.899
238,39.439,5.968,1.704,5.978
239,39.38,4.252,1.7,5.822
240,39.321,3.76,1.696,5.428
241,39.261,5.857,1.692,5.881
242,39.201,5.139,1.688,7.115
243,39.141,5.773,1.684,6.059
244,39.08,5.215,1.68,6.241
245,39.019,6.141,1.676,5.493
246,38.958,5.258,1.672,5.579
247,38.896,5.553,1.668,5.856
248,38.834,5.111,1.664,5.816
249,38.771,4.844,1.66,6.421
250,38.708,4.969,1.656,5.843
251,38.645,5.72,1.652,5.437
252,38.581,5.159,1.648,6.324
253,38.516,4.395,1.645,5.46
254,38.451,4.235,1.641,6.91
255,38.386,5.649,1.637,6.437
256,38.32,5.022,1.633,5.764
257,38.254,5.881,1.63,6.299
258,38.187,7.102,1.626,5.573
259,38.119,6.202,1.622,5.457
260,38.05,5.426,1.619,6.358
261,37.981,5.557,1.615,5.57
262,37.911,5.283,1.611,7.532
263,37.84,5.767,1.608,5.448
264,37.768,5.303,1.604,5.064
265,37.695,5.96,1.601,6.187
266,37.622,5.286,1.597,5.267
267,37.547,4.695,1.593,4.359
268,37.472,5.052,1.59,5.116
269,37.394,5.231,1.586,5.315
270,37.316,6.053,1.583,4.615
271,37.236,5.946,1.579,4.929
272,37.155,5.07,1.576,5.353
273,37.072,5.307,1.573,5.911
274,36.988,5.025,1.569,5.899
275,36.902,3.949,1.566,6.121
276,36.814,4.4,1.562,5.339
277,36.725,4.63,1.559,5.164
278,36.634,4.723,1.556,4.878
279,36.542,5.06,1.552,5.023
280,36.447,4.506,1.549,6.75
281,36.35,5.564,1.545,4.725
282,36.249,6.255,1.542,4.737
283,36.144,4.106,1.539,6.393
284,36.036,4.807,1.536,7.986
285,35.925,3.369,1.532,5.767
286,35.814,3.326,1.529,5.287
287,35.703,3.177,1.526,5.207
288,35.591,3.849,1.522,5.585
289,35.482,5.685,1.519,4.918
290,35.381,4.782,1.516,5.587
291,35.291,4.129,1.513,5.857
292,35.213,4.409,1.509,5.098
293,35.141,4.002,1.506,4.4
294,35.063,3.372,1.503,3.958
295,34.972,4.405,1.5,4.81
296,34.867,4.173,1.497,6.919
297,34.751,4.268,1.493,5.132
298,34.633,4.794,1.49,6.38
299,34.518,3.401,1.487,4.862
300,34.409,4.27,1.484,4.539
301,34.3,4.23,1.481,4.015
302,34.192,4.436,1.477,5.663
303,34.085,4.8,1.474,5.146
304,33.977,5.413,1.471,6.101
305,33.866,4.088,1.468,5.369
306,33.75,4.871,1.465,5.251
307,33.627,3.451,1.462,4.083
308,33.5,3.748,1.459,4.927
309,33.367,4.69,1.455,5.732
310,33.233,4.241,1.452,4.744
311,33.096,3.349,1.449,4.093
312,32.958,4.965,1.446,4.931
313,32.818,5.729,1.443,4.194
314,32.675,5.577,1.44,4.842
315,32.529,4.29,1.437,4.453
316,32.379,5.149,1.434,4.455
317,32.224,3.568,1.43,4.542
318,32.06,3.68,1.427,4.996
319,31.889,3.36,1.424,5.188
320,31.713,3.849,1.421,4.551
321,31.536,4.405,1.418,4.125
322,31.361,4.124,1.415,6.229
323,31.185,4.566,1.412,4.684
324,31.016,4.355,1.409,4.267
325,30.86,3.497,1.405,4.42
326,30.72,4.035,1.402,5.64
327,30.601,3.629,1.399,5.193
328,30.498,4.687,1.396,3.874
329,30.398,3.547,1.393,3.626
330,30.291,3.301,1.39,3.945
331,30.169,4.096,1.387,4.718
332,30.029,4.041,1.384,6.322
333,29.879,3.588,1.38,5.397
334,29.724,3.258,1.377,7.36
335,29.563,2.929,1.374,5.372
336,29.405,3.484,1.371,4.726
337,29.262,4.49,1.368,4.486
338,29.127,3.502,1.365,5.236
339,28.991,4.741,1.361,3.941
340,28.852,4.417,1.358,4.787
341,28.715,5.442,1.355,5.099
342,28.575,4.816,1.352,3.958
343,28.431,3.163,1.349,5.546
344,28.285,3.222,1.346,4.664
345,28.137,2.809,1.342,4.648
346,27.985,3.427,1.339,4.717
347,27.832,3.297,1.336,5.007
348,27.677,4.467,1.333,4.926
349,27.522,3.977,1.33,4.346
350,27.368,4.124,1.327,4.87
351,27.213,2.618,1.323,4.615
352,27.06,3.176,1.32,4.271
353,26.907,3.645,1.317,4.38
354,26.753,3.132,1.314,4.064
355,26.595,4.506,1.311,3.815
356,26.436,4.101,1.307,3.619
357,26.274,3.355,1.304,6.518
358,26.112,4.119,1.301,4.234
359,25.947,4.429,1.298,4.061
360,25.782,3.244,1.294,3.922
361,25.615,2.959,1.291,4.868
362,25.447,2.895,1.288,4.532
363,25.277,4.343,1.285,4.22
364,25.105,3.684,1.281,4.229
365,24.932,2.696,1.278,4.328
366,24.758,2.922,1.275,5.235
367,24.581,3.251,1.272,4.776
368,24.401,4.38,1.268,4.75
369,24.219,3.683,1.265,4.481
370,24.034,3.353,1.262,4.28
371,23.846,4.249,1.259,3.773
372,23.656,4.691,1.255,3.733
373,23.463,3.03,1.252,3.776
374,23.265,3.702,1.249,6.749
375,23.065,3.84,1.245,5.436
376,22.862,3.212,1.242,4.93
377,22.657,3.995,1.239,3.572
378,22.447,2.721,1.236,4.396
379,22.232,3.174,1.232,5.352
380,22.013,2.812,1.229,4.278
381,21.788,3.096,1.226,3.505
382,21.561,2.915,1.222,3.351
