# #stocks, #noise, #price, #walk, #kn, #action,#timestep
5719,77,-0.224,1174,1187,sell,358
5800,-47,-0.244,1251,1268,buy,359
5746,-133,-0.018,1204,1214,buy,360
5613,131,-0.007,1071,1081,sell,361
5745,-83,-0.221,1202,1213,buy,362
5661,112,-0.012,1119,1129,sell,363
5775,50,-0.071,1231,1243,sell,364
5829,30,-0.25,1281,1297,sell,365
5861,-5,-0.256,1311,1329,buy,366
5844,-33,-0.026,1306,1312,buy,367
5808,50,-0.022,1273,1276,sell,368
5860,-94,-0.053,1323,1328,buy,369
5766,-30,-0.018,1229,1234,buy,370
5730,71,-0.015,1199,1198,sell,371
5802,-156,-0.048,1270,1270,buy,372
5636,35,-0.008,1114,1104,sell,373
5671,89,-0.023,1149,1139,sell,374
5761,-153,-0.059,1238,1229,buy,375
5602,4,-0.005,1085,1070,sell,376
5608,55,-0.01,1089,1076,sell,377
5671,50,-0.028,1144,1139,sell,378
5724,-62,-0.043,1194,1192,buy,379
5659,-192,-0.016,1132,1127,buy,380
5460,-1,0.004,940,928,buy,381
5446,5,0.005,939,914,sell,382
5451,23,0.003,944,919,sell,383
5479,-47,-0.002,967,947,buy,384
5428,14,0.007,920,896,sell,385
5442,-137,0.002,934,910,buy,386
5298,154,0.018,797,766,sell,387
5454,76,-0.014,951,922,sell,388
5533,5,-0.038,1027,1001,sell,389
5546,178,-0.044,1032,1014,sell,390
5727,-156,-0.218,1210,1195,buy,391
5557,-129,-0.003,1054,1025,buy,392
5424,-113,0.007,925,892,buy,393
5311,99,0.017,812,779,sell,394
5417,29,-0.005,911,885,sell,395
5457,116,-0.012,940,925,sell,396
5577,35,-0.162,1056,1045,sell,397
5612,42,-0.176,1091,1080,sell,398
5658,-63,-0.19,1133,1126,buy,399
5584,222,-0.008,1070,1052,sell,400
5812,-59,-0.242,1292,1280,buy,401
5749,-2,-0.017,1233,1217,buy,402
5736,-87,-0.016,1231,1204,buy,403
5648,143,-0.009,1144,1116,sell,404
5793,146,-0.233,1287,1261,sell,405
5942,-119,-0.277,1433,1410,buy,406
5813,30,-0.02,1314,1281,sell,407
5845,31,-0.039,1344,1313,sell,408
5876,-21,-0.053,1375,1344,buy,409
5855,77,-0.032,1354,1323,sell,410
5934,-53,-0.274,1431,1402,buy,411
5872,-4,-0.026,1378,1340,buy,412
5859,117,-0.024,1374,1327,sell,413
5977,30,-0.286,1491,1445,sell,414
6014,-136,-0.294,1521,1482,buy,415
5873,-223,-0.023,1385,1341,buy,416
5640,-116,-0.004,1162,1108,buy,417
5504,-257,0.004,1046,972,buy,418
5240,231,0.024,789,708,sell,419
5477,253,-0.029,1020,945,sell,420
5731,197,-0.215,1273,1199,sell,421
5930,34,-0.274,1470,1398,sell,422
5968,-233,-0.283,1504,1436,buy,423
5733,-108,-0.013,1271,1201,buy,424
5613,131,-0.003,1163,1081,sell,425
5750,-53,-0.044,1294,1218,buy,426
5693,-253,-0.018,1241,1161,buy,427
5431,-81,0.01,988,899,buy,428
5350,167,0.016,907,818,sell,429
5528,-16,-0.019,1074,996,buy,430
5510,-79,-0.009,1058,978,buy,431
5431,-123,0.003,979,899,buy,432
5307,-41,0.019,856,775,buy,433
5263,67,0.022,815,731,sell,434
5338,13,0.001,882,806,sell,435
5360,-198,-0.001,895,828,buy,436
5161,-40,0.03,697,629,buy,437
5109,-27,0.035,657,577,buy,438
5076,-246,0.038,630,544,buy,439
4823,-10,0.062,384,291,buy,440
4810,-54,0.063,374,278,buy,441
4755,10,0.07,320,223,sell,442
4765,174,0.049,330,233,sell,443
4940,45,-0.007,504,408,sell,444
4987,61,-0.025,549,455,sell,445
5051,-6,-0.055,610,519,buy,446
5044,32,-0.038,604,512,sell,447
5077,72,-0.067,636,545,sell,448
5150,-94,-0.093,708,618,buy,449
5056,-49,-0.006,614,524,buy,450
5006,80,0.002,565,474,sell,451
5086,219,-0.017,645,554,sell,452
5310,-53,-0.133,864,778,buy,453
5256,-16,-0.003,811,724,buy,454
5239,79,-0.002,795,707,sell,455
5318,-80,-0.027,874,786,buy,456
5233,251,-0.001,794,701,sell,457
5487,88,-0.172,1045,955,sell,458
5582,-72,-0.19,1133,1050,buy,459
5508,-243,-0.008,1061,976,buy,460
5262,-107,0.015,818,730,buy,461
5145,-77,0.025,711,613,buy,462
5068,229,0.034,634,536,sell,463
5303,-140,-0.019,863,771,buy,464
5155,-62,0.01,723,623,buy,465
5092,-96,0.022,661,560,buy,466
4986,-2,0.042,565,454,buy,467
4977,77,0.043,563,445,sell,468
5054,173,0.013,640,522,sell,469
5230,-133,-0.019,813,698,buy,470
5092,-88,0.009,680,560,buy,471
5002,-37,0.028,592,470,buy,472
4960,-155,0.045,555,428,buy,473
4802,167,0.063,400,270,sell,474
4982,47,-0.002,567,450,sell,475
5039,59,-0.017,614,507,sell,476
5099,-11,-0.053,673,567,buy,477
5085,-72,-0.036,662,553,buy,478
5007,-88,-0.014,590,475,buy,479
4918,370,0.002,502,386,sell,480
5293,1,-0.125,872,761,sell,481
5294,-17,-0.127,873,762,buy,482
5266,63,-0.011,856,734,sell,483
5334,186,-0.037,919,802,sell,484
5522,-83,-0.178,1105,990,buy,485
5433,146,-0.003,1022,901,sell,486
5580,292,-0.059,1168,1048,sell,487
5875,-38,-0.258,1460,1343,buy,488
5833,101,-0.024,1422,1301,sell,489
5934,-120,-0.275,1523,1402,buy,490
5811,-41,-0.02,1403,1279,buy,491
5764,32,-0.016,1362,1232,sell,492
5796,123,-0.035,1394,1264,sell,493
5920,53,-0.267,1517,1388,sell,494
5973,-54,-0.284,1570,1441,buy,495
5919,38,-0.029,1516,1387,sell,496
5959,219,-0.059,1554,1427,sell,497
6178,-157,-0.345,1773,1646,buy,498
6015,-48,-0.033,1616,1483,buy,499
5959,-47,-0.028,1568,1427,buy,500
5911,-1,-0.024,1521,1379,buy,501
5901,-22,-0.023,1520,1369,buy,502
5872,115,-0.021,1498,1340,sell,503
5988,-18,-0.276,1613,1456,buy,504
5959,7,-0.029,1595,1427,sell,505
5967,212,-0.042,1602,1435,sell,506
6181,72,-0.346,1814,1649,sell,507
6253,143,-0.373,1886,1721,sell,508
6397,215,-0.428,2029,1865,sell,509
6613,137,-0.546,2244,2081,sell,510
6750,89,-0.672,2381,2218,sell,511
6839,50,-0.79,2470,2307,sell,512
